Genotype,Envir,Management,Row,Position,Fruit_weight_single,R,P,Fruit_weight_single_spats_residuals,Fruit_weight_single_spats_geno_pred_values,Fruit_weight_single_spats_adj_pheno
629,CHE_2023_2,2,18,81,204.2105263,18,81,17.3406043249477,162.490099911358,179.830704236306
65,CHE_2023_2,2,19,5,249,19,5,15.4221152717841,209.85198782875,225.274103100534
65,CHE_2023_2,2,21,4,224.8869565,21,4,-2.69572008108503,209.85198782875,207.156267747665
65,CHE_2023_2,2,20,34,182.8503401,20,34,-21.5846564426803,209.85198782875,188.267331386069
65,CHE_2023_2,2,19,52,170.9632353,19,52,-27.7152224786359,209.85198782875,182.136765350114
65,CHE_2023_2,2,21,27,218.6433566,21,27,16.0480095575499,209.85198782875,225.899997386299
65,CHE_2023_2,2,18,71,231.4375,18,71,1.10277741308991,209.85198782875,210.954765241839
65,CHE_2023_2,2,20,58,225.25,20,58,7.0929427929083,209.85198782875,216.944930621658
65,CHE_2023_2,2,21,71,221.9298246,21,71,24.5162388929748,209.85198782875,234.368226721724
653,CHE_2023_2,2,20,41,356.8235294,20,41,15.0444701056919,342.077844959667,357.122315065359
653,CHE_2023_2,2,18,82,410.1818182,18,82,41.7355414076735,342.077844959667,383.81338636734
691,CHE_2023_2,2,18,66,157.1428571,18,66,-7.68504224526859,155.984234443002,148.299192197733
691,CHE_2023_2,2,20,39,153.7,20,39,1.70448220026898,155.984234443002,157.688716643271
739,CHE_2023_2,2,20,73,140.8461538,20,73,4.385084597477,143.215329246993,147.60041384447
739,CHE_2023_2,2,18,83,165.6081081,18,83,4.38103225613463,143.215329246993,147.596361503127
739,CHE_2023_2,2,19,16,138.9791667,19,16,-3.2495968792924,143.215329246993,139.9657323677
739,CHE_2023_2,2,18,17,91.33333333,18,17,-53.4530002135015,143.215329246993,89.7623290334911
739,CHE_2023_2,2,20,22,142.4411765,20,22,3.66436147817782,143.215329246993,146.87969072517
739,CHE_2023_2,2,19,66,175.4878049,19,66,33.9852110340447,143.215329246993,177.200540281037
74,CHE_2023_2,2,18,85,255.3333333,18,85,-3.56966396127268,233.107783420202,229.538119458929
74,CHE_2023_2,2,19,14,261.5217391,19,14,23.5992286109365,233.107783420202,256.707012031138
743,CHE_2023_2,2,18,4,153.4909091,18,4,-0.36792733643324,138.498390065164,138.13046272873
743,CHE_2023_2,2,20,66,98.61728395,20,66,-30.3478626440363,138.498390065164,108.150527421127
743,CHE_2023_2,2,21,11,123.0952381,21,11,-12.26012706493,138.498390065164,126.238263000234
743,CHE_2023_2,2,19,70,176.2857143,19,70,31.0982088700218,138.498390065164,169.596598935185
757,CHE_2023_2,2,19,72,332,19,72,38.2825032895194,287.230223189109,325.512726478629
764,CHE_2023_2,2,20,64,190.3333333,20,64,5.65138869712504,185.899339942392,191.550728639518
764,CHE_2023_2,2,19,41,182.7959184,19,41,-1.54299880903494,185.899339942392,184.356341133358
80,CHE_2023_2,2,20,11,144.0232558,20,11,-4.2415914386859,150.789239783331,146.547648344645
80,CHE_2023_2,2,19,82,152.64,19,82,-3.4909945527092,150.789239783331,147.298245230622
89,CHE_2023_2,2,21,31,128.8888889,21,31,4.0822398622479,130.966776149374,135.049016011622
89,CHE_2023_2,2,19,74,115.8468468,19,74,-18.5000051239471,130.966776149374,112.466771025427
929,CHE_2023_2,2,18,11,167.5,18,11,-12.5862124150355,176.705766907784,164.119554492749
929,CHE_2023_2,2,18,74,209.7727273,18,74,13.5940450259919,176.705766907784,190.299811933776
95,CHE_2023_2,2,19,84,198.5846154,19,84,-5.47475819384553,202.845746004825,197.370987810979
95,CHE_2023_2,2,21,35,217.8378378,21,35,15.298369186978,202.845746004825,218.144115191803
953,CHE_2023_2,2,19,80,205.7272727,19,80,23.5477646504087,182.322707929906,205.870472580315
953,CHE_2023_2,2,18,16,165.2542373,18,16,-20.6456035454261,182.322707929906,161.67710438448
997,CHE_2023_2,2,19,31,106.954023,19,31,-7.94541808857967,120.402383033996,112.456964945416
997,CHE_2023_2,2,20,48,108.2222222,20,48,-10.035217216038,120.402383033996,110.367165817958
ACW_25365,CHE_2023_2,2,21,3,189.7391304,21,3,3.10190378190976,176.08655449098,179.18845827289
ACW_25365,CHE_2023_2,2,20,71,168.55,20,71,-2.30290222693017,176.08655449098,173.78365226405
ACW_25581,CHE_2023_2,2,21,61,196.2923077,21,61,-0.975873638191757,202.158524657191,201.182651018999
ACW_25581,CHE_2023_2,2,18,36,213.55,18,36,10.5677173801819,202.158524657191,212.726242037373
ACW_25592,CHE_2023_2,2,20,77,165.1222222,20,77,3.90919084224461,185.308687742573,189.217878584817
ACW_25607,CHE_2023_2,2,20,79,136.7727273,20,79,3.94552582711972,156.030711307754,159.976237134873
ACW_25607,CHE_2023_2,2,21,13,146.8648649,21,13,-9.91041142425445,156.030711307754,146.120299883499
ACW_25619,CHE_2023_2,2,21,63,136.5,21,63,-12.3878740554164,161.154899874351,148.767025818935
ACW_25619,CHE_2023_2,2,18,41,168.6714286,18,41,8.15113485900835,161.154899874351,169.30603473336
ACW_25622,CHE_2023_2,2,18,22,95.4047619,18,22,-35.3862983648053,126.108515859858,90.722217495053
ACW_25622,CHE_2023_2,2,20,83,121.9242424,20,83,19.3300717303447,126.108515859858,145.438587590203
FuGa_140,CHE_2023_2,2,21,82,164.3137255,21,82,5.38940496609806,189.69772346685,195.087128432948
FuGa_217,CHE_2023_2,2,18,27,131.1818182,18,27,-3.79925739288302,134.433739579885,130.634482187002
FuGa_217,CHE_2023_2,2,20,85,106.6666667,20,85,-9.44926511047152,134.433739579885,124.984474469413
FuGa_352,CHE_2023_2,2,18,38,187.3333333,18,38,2.84853347144866,182.16369471986,185.012228191309
FuPi_052,CHE_2023_2,2,20,1,157.1206897,20,1,-9.80647034640253,144.639891269854,134.833420923452
FuPi_087,CHE_2023_2,2,19,25,276.75,19,25,88.2647507650024,172.386591607756,260.651342372758
FuPi_087,CHE_2023_2,2,21,78,28.35,21,78,-88.7135716615897,172.386591607756,83.6730199461663
FuPi_106,CHE_2023_2,2,19,29,167.6464646,19,29,-5.05569462054868,181.213191857734,176.157497237185
FuPi_106,CHE_2023_2,2,21,84,150.7628866,21,84,7.5836684407048,181.213191857734,188.796860298439
FuPi_107,CHE_2023_2,2,21,81,203.3333333,21,81,15.1852048012367,218.743599148913,233.92880395015
GaCr_002,CHE_2023_2,2,20,82,149.2564103,20,82,-10.4944872499871,173.617499195234,163.123011945247
GaCr_002,CHE_2023_2,2,18,31,182,18,31,10.4607932538403,173.617499195234,184.078292449075
GaCr_056,CHE_2023_2,2,21,65,148.9777778,21,65,3.81287381950898,153.69909434523,157.511968164739
GaCr_056,CHE_2023_2,2,18,30,144.6538462,18,30,-10.5641035195757,153.69909434523,143.134990825654
GaCr_061,CHE_2023_2,2,21,80,122.7755102,21,80,8.8530306747837,147.065565195975,155.918595870759
GaCr_061,CHE_2023_2,2,19,27,125.4615385,19,27,-17.8414359538532,147.065565195975,129.224129242122
GaPi_017,CHE_2023_2,2,20,84,136.1935484,20,84,-8.62721253646703,164.187748360107,155.56053582364
GaPi_017,CHE_2023_2,2,18,26,173.880597,18,26,5.41330966360317,164.187748360107,169.60105802371
GaPi_028,CHE_2023_2,2,18,28,214.5,18,28,1.77336505841978,209.588115195389,211.361480253809
GaPi_028,CHE_2023_2,2,21,56,226.0681818,21,56,10.3241281109064,209.588115195389,219.912243306296
GaPi_033,CHE_2023_2,2,18,55,59,18,55,-36.1155846608238,104.413185327032,68.2976006662078
GaPi_033,CHE_2023_2,2,18,23,125.7692308,18,23,12.7425493481523,104.413185327032,117.155734675184
I_BB056,CHE_2023_2,2,21,45,189.2790698,21,45,2.59964703025844,180.671712318492,183.271359348751
I_BB056,CHE_2023_2,2,20,38,181.4146341,20,38,-0.254288643676347,180.671712318492,180.417423674816
I_CC044,CHE_2023_2,2,18,7,120.4137931,18,7,-7.97624653734773,121.602664529977,113.62641799263
I_CC044,CHE_2023_2,2,18,47,99.2,18,47,-9.59959059870515,121.602664529977,112.003073931272
I_CC048,CHE_2023_2,2,19,85,183.8181818,19,85,1.16023398448971,179.705744593384,180.865978577874
I_CC048,CHE_2023_2,2,18,13,189.4857143,18,13,0.859349184090547,179.705744593384,180.565093777475
I_CC055,CHE_2023_2,2,21,42,236.5714286,21,42,38.6439797304509,185.877882523722,224.521862254173
I_CC055,CHE_2023_2,2,19,47,137.8947368,19,47,-34.5428264146224,185.877882523722,151.3350561091
I_CC070,CHE_2023_2,2,21,85,174.4,21,85,33.9680756123629,178.299456174823,212.267531787185
I_CC070,CHE_2023_2,2,21,24,135.9782609,21,24,-32.4227670020533,178.299456174823,145.876689172769
I_J012,CHE_2023_2,2,20,20,192.0909091,20,20,6.73295836799264,185.632180532879,192.365138900872
I_J012,CHE_2023_2,2,20,51,174.9102564,20,51,-2.71466871059656,185.632180532879,182.917511822283
I_J036,CHE_2023_2,2,20,61,189.015625,20,61,1.04907041832115,194.535379165885,195.584449584206
I_J036,CHE_2023_2,2,21,8,213.1111111,21,8,5.9718469668816,194.535379165885,200.507226132766
I_J054,CHE_2023_2,2,20,16,109.1630435,20,16,-15.063727587977,129.002103919756,113.938376331779
I_J054,CHE_2023_2,2,20,63,116.72,20,63,-0.0166286767838955,129.002103919756,128.985475242972
I_M026,CHE_2023_2,2,20,74,154.6296296,20,74,1.2823185909464,163.720058492569,165.002377083516
I_M026,CHE_2023_2,2,20,25,171.1538462,20,25,-4.65395113178357,163.720058492569,159.066107360786
I_M029,CHE_2023_2,2,20,6,184.9736842,20,6,10.3481769583653,163.911657351294,174.259834309659
I_M029,CHE_2023_2,2,19,76,147.3548387,19,76,-13.6551922678528,163.911657351294,150.256465083441
I_M047,CHE_2023_2,2,20,29,161.125,20,29,-17.9174029945934,190.669323512448,172.751920517855
I_M047,CHE_2023_2,2,21,74,194.04,21,74,23.6344826939536,190.669323512448,214.303806206402
I_M048,CHE_2023_2,2,21,67,140.3888889,21,67,-5.97917491181693,161.261625975153,155.282451063336
I_M048,CHE_2023_2,2,19,18,166.3181818,19,18,1.77842938046695,161.261625975153,163.04005535562
I_W036,CHE_2023_2,2,18,5,187.6458333,18,5,-1.78583417975426,164.478569364045,162.69273518429
I_W036,CHE_2023_2,2,18,53,160.2077922,18,53,-1.32998852594281,164.478569364045,163.148580838102
JoPr_1990_102_054,CHE_2023_2,2,21,64,148.1111111,21,64,-12.742105034136,162.94196870965,150.199863675514
JoPr_1990_102_054,CHE_2023_2,2,18,40,170.3571429,18,40,9.10805961751961,162.94196870965,172.050028327169
JoPr_1990_102_169,CHE_2023_2,2,20,68,93.375,20,68,-24.1479231140498,134.214162716848,110.066239602798
JoPr_1990_102_169,CHE_2023_2,2,18,24,144.75,18,24,10.8253477220071,134.214162716848,145.039510438855
JoPr_1990_102_179,CHE_2023_2,2,19,26,182.64,19,26,2.38795000984393,180.444250682485,182.832200692329
JoPr_1990_102_179,CHE_2023_2,2,20,72,174.4761905,20,72,-0.119303672879653,180.444250682485,180.324947009605
JoPr_1990_102_246,CHE_2023_2,2,21,79,131.7407407,21,79,-5.39572986311413,174.619243989668,169.223514126554
JoPr_1990_102_246,CHE_2023_2,2,18,32,179.4047619,18,32,5.69987699799702,174.619243989668,180.319120987665
Modi,CHE_2023_2,2,19,15,131.4230769,19,15,-18.8020578719205,151.443967204866,132.641909332946
Modi,CHE_2023_2,2,20,81,129.7613636,20,81,-7.11646457453995,151.443967204866,144.327502630326
Modi,CHE_2023_2,2,18,45,162.1964286,18,45,13.8157584708743,151.443967204866,165.259725675741
Modi,CHE_2023_2,2,18,37,155.78125,18,37,-1.38391981027249,151.443967204866,150.060047394594
Modi,CHE_2023_2,2,21,48,163,21,48,5.97490638147693,151.443967204866,157.418873586343
NOVADI_0010,CHE_2023_2,2,18,39,206.5789474,18,39,-7.97488351011859,217.820354541352,209.845471031233
NOVADI_0010,CHE_2023_2,2,21,58,252.9361702,21,58,22.84872157986,217.820354541352,240.669076121212
NOVADI_0023,CHE_2023_2,2,21,1,305.2857143,21,1,38.5123177202376,240.590269853494,279.102587573732
NOVADI_0023,CHE_2023_2,2,21,52,221.8,21,52,-15.9592643600941,240.590269853494,224.6310054934
NOVADI_0330,CHE_2023_2,2,21,53,255.5925926,21,53,32.0616498637411,221.010196628356,253.071846492097
NOVADI_0330,CHE_2023_2,2,18,35,204.137931,18,35,-16.1120289554301,221.010196628356,204.898167672926
NOVADI_0371,CHE_2023_2,2,21,2,260,21,2,28.6187726285183,201.581134424181,230.1999070527
NOVADI_0371,CHE_2023_2,2,20,54,184.8416667,20,54,-19.2216552983338,201.581134424181,182.359479125848
TeBr_012,CHE_2023_2,2,20,24,182.5909091,20,24,4.54317530071421,187.188537685915,191.731712986629
TeBr_022,CHE_2023_2,2,21,73,204.1538462,21,73,-0.674486612216754,220.584885558518,219.910398946301
TeBr_022,CHE_2023_2,2,21,40,241.24,21,40,16.4806702162644,220.584885558518,237.065555774782
TeBr_071,CHE_2023_2,2,21,69,156.6153846,21,69,7.12192605344379,164.917857030127,172.03978308357
TeBr_071,CHE_2023_2,2,18,21,156.8888889,18,21,-10.0895978101354,164.917857030127,154.828259219991
TeBr_248,CHE_2023_2,2,21,36,201.25,21,36,14.1153057618702,184.701266214151,198.816571976021
TeBr_248,CHE_2023_2,2,21,62,162.1111111,21,62,-10.4109694667259,184.701266214151,174.290296747425
TeBr_263,CHE_2023_2,2,19,19,157.6666667,19,19,-22.5022786203063,175.633619980296,153.13134135999
TeBr_263,CHE_2023_2,2,18,54,203.402439,18,54,23.1485267911685,175.633619980296,198.782146771464
1125,CHE_2023_BUFFER,BUFFER,31,85,171.5,31,85,0.705887179862629,201.658020478121,202.363907657984
114,CHE_2023_BUFFER,BUFFER,30,86,162.7714286,30,86,-0.424640797795689,196.161642059002,195.737001261207
118,CHE_2023_BUFFER,BUFFER,21,87,149.6666667,21,87,-15.6744212526615,199.346709432138,183.672288179477
118,CHE_2023_BUFFER,BUFFER,21,88,180.16,21,88,15.9049041565985,199.346709432138,215.251613588737
12_B006,CHE_2023_BUFFER,BUFFER,29,85,202.7846154,29,85,6.07602628350531,227.766455881968,233.842482165473
1446,CHE_2023_BUFFER,BUFFER,24,85,146.1149425,24,85,-3.508927016244,181.166520713504,177.65759369726
1448,CHE_2023_BUFFER,BUFFER,18,42,126.4444444,18,42,-12.4861178723354,137.521392896372,125.035275024036
1872,CHE_2023_BUFFER,BUFFER,19,88,123.3333333,19,88,-6.8613179554104,164.867933173324,158.006615217913
192,CHE_2023_BUFFER,BUFFER,26,86,106.1388889,26,86,-10.0894483138185,149.173473251322,139.084024937504
1952,CHE_2023_BUFFER,BUFFER,30,42,240.2142857,30,42,-2.26019778195462,187.237567649369,184.977369867415
2013,CHE_2023_BUFFER,BUFFER,19,44,198.8148148,19,44,-0.604285892581572,195.288247112929,194.683961220347
2061,CHE_2023_BUFFER,BUFFER,33,85,242.0416667,33,85,12.7069707512882,260.004649709419,272.711620460707
25,CHE_2023_BUFFER,BUFFER,34,85,116.254902,34,85,-8.76833521305211,155.596434628456,146.828099415404
26,CHE_2023_BUFFER,BUFFER,27,87,219.625,27,87,9.56148109200453,244.711970693494,254.273451785499
2670,CHE_2023_BUFFER,BUFFER,32,86,135.3230769,32,86,-5.10549187116055,173.404373480789,168.298881609629
286,CHE_2023_BUFFER,BUFFER,19,87,109.3392857,19,87,-9.39909985493213,152.529795647655,143.130695792723
2975,CHE_2023_BUFFER,BUFFER,24,84,176.7647059,24,84,1.48231197402603,205.432827087993,206.91513906202
308,CHE_2023_BUFFER,BUFFER,30,85,150.4084507,30,85,-2.87570580314599,184.245103003355,181.369397200209
333,CHE_2023_BUFFER,BUFFER,19,43,219.7777778,19,43,2.82147117458712,211.943524633911,214.764995808498
445,CHE_2023_BUFFER,BUFFER,28,87,195.9210526,28,87,5.53597383412202,225.140839633062,230.676813467184
526,CHE_2023_BUFFER,BUFFER,25,42,253.8846154,25,42,3.89807967475815,217.177758410625,221.075838085384
691,CHE_2023_BUFFER,BUFFER,28,86,183.6153846,28,86,3.12951000451142,213.44114168586,216.570651690371
740,CHE_2023_BUFFER,BUFFER,18,43,253.9677419,18,43,9.40196129075497,243.936420498948,253.338381789703
80,CHE_2023_BUFFER,BUFFER,35,85,139.28,35,85,-4.85687478505309,174.613095081411,169.756220296358
953,CHE_2023_BUFFER,BUFFER,31,86,191.3636364,31,86,4.45395100483677,219.880282578829,224.334233583666
ACW_25365,CHE_2023_BUFFER,BUFFER,23,84,176.5555556,23,84,1.48059208129237,205.424465347736,206.905057429029
ACW_25581,CHE_2023_BUFFER,BUFFER,26,85,206.8235294,26,85,6.81467745499623,231.357615444997,238.172292899993
ACW_25592,CHE_2023_BUFFER,BUFFER,20,90,193.1904762,20,90,5.42746630459601,224.613299885807,230.040766190403
ACW_25628,CHE_2023_BUFFER,BUFFER,23,83,119.4741379,23,83,-8.47739884433143,157.010903274943,148.533504430612
FuGa_217,CHE_2023_BUFFER,BUFFER,26,87,118.125,26,87,-7.77232323276795,160.438825849024,152.666502616256
FuGa_243,CHE_2023_BUFFER,BUFFER,25,86,130.4,25,86,1.19045678217003,162.149477479114,163.339934261284
FuGa_243,CHE_2023_BUFFER,BUFFER,29,86,120.578125,29,86,-8.610922959188,162.149477479114,153.538554519926
GaCr_002,CHE_2023_BUFFER,BUFFER,26,84,194.6111111,26,84,4.45894894643388,219.904581471803,224.363530418237
GaPi_028,CHE_2023_BUFFER,BUFFER,27,85,220.3125,27,85,9.09927228574358,242.464813119275,251.564085405019
NOVADI_0330,CHE_2023_BUFFER,BUFFER,18,86,192.2352941,18,86,9.28662499431013,215.852862540916,225.139487535226
NOVADI_0330,CHE_2023_BUFFER,BUFFER,28,85,179.037037,28,85,-5.66105782396389,215.852862540916,210.191804716952
1,ESP_2018_1,1,5,72,86,5,72,-24.4427751409832,113.797423640701,89.3546484997176
1,ESP_2018_1,1,6,32,116.47,6,32,0.414157461926365,113.797423640701,114.211581102627
101,ESP_2018_1,1,9,45,124,9,45,-4.68537915334628,128.3858652651,123.700486111753
101,ESP_2018_1,1,1,63,100,1,63,-21.1329060444973,128.3858652651,107.252959220602
101,ESP_2018_1,1,3,126,140,3,126,10.9850794708239,128.3858652651,139.370944735923
1015,ESP_2018_1,1,2,81,176.67,2,81,9.77398833215167,167.762350335712,177.536338667863
1015,ESP_2018_1,1,4,28,168.57,4,28,0.212660642920639,167.762350335712,167.975010978632
1020,ESP_2018_1,1,8,63,127.14,8,63,-16.652958538968,135.028635756684,118.375677217715
1020,ESP_2018_1,1,9,121,150.77,9,121,6.00683548641331,135.028635756684,141.035471243097
1106.1,ESP_2018_1,1,7,73,153.33,7,73,14.9277735133224,132.71698850906,147.644762022383
1106.1,ESP_2018_1,1,8,61,114.29,8,61,-27.0309780881519,132.71698850906,105.686010420908
1113,ESP_2018_1,1,9,98,164.67,9,98,6.01535570719875,148.043756234016,154.059111941215
1113,ESP_2018_1,1,9,47,140.39,9,47,-8.45776533540132,148.043756234016,139.585990898615
112,ESP_2018_1,1,5,71,132.31,5,71,-3.51812443122398,139.040125562508,135.522001131284
112,ESP_2018_1,1,1,49,124,1,49,-4.59946937498239,139.040125562508,134.440656187525
1123,ESP_2018_1,1,7,81,121.54,7,81,-16.7199665112829,132.848344089802,116.128377578519
1123,ESP_2018_1,1,1,33,123.85,1,33,4.69955821505599,132.848344089802,137.547902304858
1125,ESP_2018_1,1,9,44,125,9,44,5.33582645012046,119.505495951107,124.841322401228
1125,ESP_2018_1,1,9,76,101.43,9,76,-25.7665220414323,119.505495951107,93.7389739096749
114,ESP_2018_1,1,3,91,128,3,91,-30.9984517882793,166.06465058321,135.06619879493
114,ESP_2018_1,1,7,52,212,7,52,39.9150036962998,166.06465058321,205.979654279509
118,ESP_2018_1,1,9,54,200,9,54,19.8317737549602,177.776192446972,197.607966201932
118,ESP_2018_1,1,8,120,184.62,8,120,-3.53318236640203,177.776192446972,174.24301008057
12_196,ESP_2018_1,1,5,122,331.03,5,122,107.547032311764,217.311516525476,324.858548837241
12_196,ESP_2018_1,1,6,39,152.91,6,39,-66.3284665408062,217.311516525476,150.98304998467
12_197,ESP_2018_1,1,5,81,132.97,5,81,-5.55518593801713,142.278174425143,136.722988487126
12_197,ESP_2018_1,1,1,17,127.27,1,17,-0.52139526524148,142.278174425143,141.756779159902
12_204,ESP_2018_1,1,4,128,218.4,4,128,26.856725729798,184.614554978967,211.471280708765
12_204,ESP_2018_1,1,8,51,185.71,8,51,-6.24776575095052,184.614554978967,178.366789228017
12_205,ESP_2018_1,1,1,81,170.56,1,81,4.0756535222005,170.232106250977,174.307759773178
12_205,ESP_2018_1,1,2,43,171.58,2,43,7.4677363061152,170.232106250977,177.699842557092
12_B006,ESP_2018_1,1,4,117,200,4,117,16.9451465791249,180.593831015767,197.538977594892
12_B006,ESP_2018_1,1,3,55,173.33,3,55,1.12946366320091,180.593831015767,181.723294678968
12_B020,ESP_2018_1,1,5,2,124.44,5,2,-9.4221888628546,136.970396775296,127.548207912442
12_B023,ESP_2018_1,1,5,86,161.15,5,86,6.20275534805876,158.590931761321,164.79368710938
12_B023,ESP_2018_1,1,2,13,150,2,13,-1.99705091438508,158.590931761321,156.593880846936
12_B057,ESP_2018_1,1,1,52,142.22,1,52,0.944404909478692,151.057870080171,152.002274989649
12_B057,ESP_2018_1,1,8,111,160,8,111,-1.48695304463561,151.057870080171,149.570917035535
12_B061,ESP_2018_1,1,4,64,208.62,4,64,34.60303346292,178.232590827275,212.835624290195
12_B061,ESP_2018_1,1,9,94,170.67,9,94,-18.0167642517966,178.232590827275,160.215826575478
12_B064,ESP_2018_1,1,5,128,182.4,5,128,7.29095164768449,166.685685339322,173.976636987006
12_B064,ESP_2018_1,1,8,6,169.66,8,6,2.01705197025967,166.685685339322,168.702737309581
12_B074,ESP_2018_1,1,2,75,170.74,2,75,0.100959323245178,172.379986134572,172.480945457817
12_B074,ESP_2018_1,1,6,55,185,6,55,12.7962858970072,172.379986134572,185.176272031579
12_B081,ESP_2018_1,1,6,28,226.67,6,28,21.0161825380436,203.534831975876,224.551014513919
12_B081,ESP_2018_1,1,4,129,222.5,4,129,11.5186394151393,203.534831975876,215.053471391015
12_B093,ESP_2018_1,1,1,22,126.11,1,22,5.06071230823916,135.678706275722,140.739418583961
12_B093,ESP_2018_1,1,5,98,118.67,5,98,-15.2970817781751,135.678706275722,120.381624497547
12_B095,ESP_2018_1,1,2,98,123.33,2,98,-13.6010846684986,136.701417640169,123.100332971671
12_B095,ESP_2018_1,1,4,49,138.89,4,49,4.00935240836552,136.701417640169,140.710770048535
12_E003,ESP_2018_1,1,3,25,157.33,3,25,16.2080359124807,148.243231174622,164.451267087102
12_E003,ESP_2018_1,1,6,75,127.14,6,75,-18.5247121484404,148.243231174622,129.718519026181
12_E014,ESP_2018_1,1,5,16,130.4,5,16,-9.19837057318873,137.325482558325,128.127111985137
12_E015,ESP_2018_1,1,2,49,221.67,2,49,6.37170827785542,220.812451907236,227.184160185091
12_E015,ESP_2018_1,1,2,129,260,2,129,37.0535731849901,220.812451907236,257.866025092226
12_E017,ESP_2018_1,1,4,32,120.77,4,32,-5.8538532508023,126.243452928449,120.389599677647
12_E017,ESP_2018_1,1,2,94,116,2,94,-10.3297615544339,126.243452928449,115.913691374015
12_E024,ESP_2018_1,1,7,110,230.77,7,110,21.5164770566305,202.517878427291,224.034355483922
12_E024,ESP_2018_1,1,8,5,213.68,8,5,10.37733696328,202.517878427291,212.895215390571
12_E025,ESP_2018_1,1,5,101,221.25,5,101,32.1067106330355,190.093228480051,222.199939113086
12_E025,ESP_2018_1,1,7,14,184,7,14,-8.0444236237727,190.093228480051,182.048804856278
12_E034,ESP_2018_1,1,5,78,197.95,5,78,19.2078482514217,182.391703327358,201.59955157878
12_E035,ESP_2018_1,1,7,53,160.74,7,53,1.05030114901146,153.584911709166,154.635212858177
12_E039,ESP_2018_1,1,2,9,140,2,9,-29.6674440966175,175.88365891954,146.216214822923
12_E039,ESP_2018_1,1,8,114,231.11,8,114,44.7731304535189,175.88365891954,220.656789373059
12_E043,ESP_2018_1,1,1,124,160,1,124,5.15401146582352,160.095412675573,165.249424141397
12_F002,ESP_2018_1,1,2,55,171.21,2,55,-5.98470102519886,182.020225253139,176.03552422794
12_F002,ESP_2018_1,1,6,128,212.7,6,128,24.9583985693998,182.020225253139,206.978623822539
12_F007,ESP_2018_1,1,1,85,104.96,1,85,-6.6924623748083,114.913269473307,108.220807098499
12_F007,ESP_2018_1,1,7,49,104.26,7,49,-16.632813414145,114.913269473307,98.280456059162
12_F014,ESP_2018_1,1,9,14,66.67,9,14,-21.4073382487723,90.3855018929815,68.9781636442092
12_F014,ESP_2018_1,1,1,127,67.3,1,127,-17.3783227527934,90.3855018929815,73.0071791401881
12_F019,ESP_2018_1,1,1,18,101.33,1,18,-9.27784549460621,125.085330519315,115.807485024709
12_F019,ESP_2018_1,1,1,74,112.44,1,74,-7.63575904613856,125.085330519315,117.449571473177
12_F023,ESP_2018_1,1,8,89,178.7,8,89,22.4334006516886,145.997585496232,168.430986147921
12_F023,ESP_2018_1,1,3,37,112.06,3,37,-26.1655561857636,145.997585496232,119.832029310468
12_F040,ESP_2018_1,1,7,66,120.86,7,66,-14.109291781303,128.900145606572,114.790853825269
12_F040,ESP_2018_1,1,4,24,129.14,4,24,-0.399751864500217,128.900145606572,128.500393742071
12_F045,ESP_2018_1,1,7,72,75.31,7,72,-26.4127491772758,96.0317045501123,69.6189553728365
12_F045,ESP_2018_1,1,9,28,84.62,9,28,-8.81398752423519,96.0317045501123,87.2177170258771
12_F046,ESP_2018_1,1,9,109,92.69,9,109,-21.5593537706101,103.769032973742,82.2096792031319
12_F046,ESP_2018_1,1,1,42,82.96,1,42,-8.79037659291838,103.769032973742,94.9786563808236
12_F052,ESP_2018_1,1,1,13,99.23,1,13,-12.9940498971822,126.465801335997,113.471751438814
12_F052,ESP_2018_1,1,8,68,132.61,8,68,-3.04941387226071,126.465801335997,123.416387463736
12_F054,ESP_2018_1,1,7,125,86.36,7,125,-32.5419291307952,110.359267070677,77.8173379398813
12_F054,ESP_2018_1,1,2,7,110.61,2,7,6.34616660988561,110.359267070677,116.705433680562
12_I002,ESP_2018_1,1,8,115,192.21,8,115,-4.391542385196,186.205921543634,181.814379158438
12_I002,ESP_2018_1,1,7,60,218.37,7,60,26.0035753108028,186.205921543634,212.209496854437
12_I003,ESP_2018_1,1,5,100,246.51,5,100,12.606425321638,235.053351678714,247.659777000352
12_I003,ESP_2018_1,1,5,20,278.24,5,20,39.7952049067539,235.053351678714,274.848556585468
12_I005,ESP_2018_1,1,4,48,344.76,4,48,84.2117501994139,262.169996425843,346.381746625257
12_I005,ESP_2018_1,1,4,81,241.67,4,81,-14.7179091902716,262.169996425843,247.452087235571
12_I010,ESP_2018_1,1,8,107,251.03,8,107,59.4843401954894,181.045085755691,240.529425951181
12_I010,ESP_2018_1,1,2,56,135.2,2,56,-41.1252942789676,181.045085755691,139.919791476724
12_I037,ESP_2018_1,1,3,29,156.67,3,29,-25.7379052782173,189.752529274937,164.014623996719
12_I037,ESP_2018_1,1,4,78,233.71,4,78,49.5854421706814,189.752529274937,239.337971445618
12_I049,ESP_2018_1,1,7,2,91.33,7,2,-22.7638326719522,115.803994128222,93.0401614562702
12_I056,ESP_2018_1,1,1,1,89.13,1,1,-5.0981289167277,106.456523674911,101.358394758183
12_I056,ESP_2018_1,1,1,96,80.3,1,96,-23.5576176238006,106.456523674911,82.8989060511099
12_I059,ESP_2018_1,1,4,86,99.72,4,86,-17.9482741816276,123.44383607238,105.495561890752
12_I062,ESP_2018_1,1,3,105,156.8,3,105,-0.88948361121615,162.464019161198,161.574535549982
